FID;Comuna;Manzanas;Personas;Hombres;Mujeres;Edad0a9;Edad10a19;Edad20a29;Edad30a39;Edad40a49;Edad50a59;Edad60a69;Edad70a79;Edad80omas;Viviendas;Hogares;HogaresDes;EstratoN1;EstratoN2;EstratoN3;EstratoN4;EstratoN5;EstratoN6
0; ;61;3187;1622;1565;599;577;613;475;414;251;147;85;26;1061;923;155;794;64;1;8;3;0
1;COMUNA 01;847;66710;32474;34236;11297;12092;12821;9946;8035;6277;3605;1801;836;21074;21065;1350;12185;5531;156;33;5;3
2;COMUNA 02;546;27515;13464;14051;4635;4839;5097;4198;3202;2500;1691;916;437;9260;8124;504;5260;2296;61;16;3;1
3;COMUNA 03;332;41488;19522;21966;4616;5306;8728;6778;5251;5015;3112;1694;988;18275;15667;2655;258;1870;6058;5504;24;11
4;COMUNA 04;485;36023;17687;18336;5507;5909;6604;5516;4446;3862;2270;1237;672;12360;11431;816;3265;3468;2595;44;7;2
5;COMUNA 05;306;34438;16522;17916;4537;5000;6330;5169;4315;4387;2576;1337;787;10556;10818;771;851;2485;5932;49;7;6
6;COMUNA 06;202;22850;10534;12316;2432;2810;3976;3387;2872;3242;2019;1229;883;8020;7917;887;38;57;3491;3231;5;6
7;COMUNA 07;128;25189;11463;13726;2397;3240;4619;3644;3226;3627;2637;1247;552;8893;8909;648;35;202;1228;6471;3;2
8;COMUNA 08;165;16129;7823;8306;2231;2512;3002;2325;2090;1865;1031;703;370;4626;5049;235;1361;2515;182;195;2;0
9;COMUNA 09;149;14183;6743;7440;1570;1874;2553;2129;1851;1870;1203;691;442;4900;4491;327;52;1159;1733;1228;8;1
10;COMUNA 10;392;39108;18132;20976;4723;5079;6623;6128;4899;4822;3472;2174;1188;13561;12430;1123;2355;268;1305;7831;3;2
11;COMUNA 11;347;36068;16994;19074;5000;5238;6896;5844;4663;4169;2542;1195;521;12649;11040;1292;1420;2848;5857;175;5;3
12;COMUNA 12;275;32825;14379;18446;2414;2901;4377;4273;4162;5113;4770;2943;1872;15198;12947;1804;37;69;123;3403;2602;6411
13;COMUNA 13;300;54093;24239;29854;4961;5969;9171;8703;6959;7515;5587;3220;2008;23332;20768;2767;218;142;2458;15550;985;118
14;COMUNA 14;222;18227;8768;9459;2965;2907;3563;2769;2229;1764;1082;616;332;6013;5606;334;4523;666;88;22;2;0
15;COMUNA 15;125;6396;3118;3278;722;780;1234;1156;860;789;512;227;116;2969;2516;470;31;88;2004;250;4;5
16;COMUNA 16;134;17641;8106;9535;1834;2474;2804;2322;2499;2666;1800;857;385;6519;5654;755;23;503;777;2186;1266;706
17;COMUNA 17;185;24874;11672;13202;3225;3582;4700;3774;3099;3248;1710;931;605;7797;7716;568;35;965;5915;29;1;2
