,CANTIDAD_CORRECTIVAS,CANTIDAD_CRIMENES
0,1.0,0.0
1,0.0,0.0
2,8.0,0.0
3,33.0,1.0
4,57.0,0.0
5,49.0,0.0
6,62.0,0.0
7,31.0,0.0
8,46.0,0.0
9,30.0,0.0
10,40.0,0.0
11,36.0,0.0
12,31.0,0.0
13,34.0,0.0
14,58.0,1.0
15,24.0,0.0
16,18.0,1.0
17,23.0,0.0
18,39.0,2.0
19,32.0,0.0
20,31.0,0.0
21,33.0,0.0
22,28.0,1.0
23,4.0,0.0
24,16.0,1.0
25,14.0,0.0
26,22.0,0.0
27,14.0,1.0
28,38.0,0.0
29,16.0,1.0
30,28.0,0.0
31,19.0,0.0
32,22.0,1.0
33,12.0,0.0
34,35.0,0.0
35,15.0,0.0
36,22.0,0.0
37,30.0,0.0
38,18.0,0.0
39,14.0,0.0
40,23.0,0.0
41,14.0,0.0
42,27.0,0.0
43,15.0,0.0
44,6.0,0.0
45,2.0,0.0
46,17.0,0.0
47,7.0,0.0
48,14.0,0.0
49,24.0,0.0
50,22.0,0.0
51,9.0,1.0
52,29.0,0.0
53,35.0,1.0
54,28.0,0.0
55,22.0,0.0
56,13.0,0.0
57,20.0,0.0
58,28.0,0.0
59,21.0,2.0
60,18.0,1.0
61,41.0,1.0
62,61.0,0.0
63,38.0,0.0
64,43.0,1.0
65,23.0,0.0
66,16.0,0.0
67,33.0,0.0
68,12.0,0.0
69,26.0,0.0
70,34.0,0.0
71,33.0,0.0
72,12.0,0.0
73,21.0,1.0
74,28.0,0.0
75,46.0,0.0
76,51.0,0.0
77,47.0,0.0
78,19.0,0.0
79,47.0,0.0
80,31.0,0.0
81,39.0,0.0
82,23.0,0.0
83,23.0,1.0
84,25.0,0.0
85,38.0,0.0
86,22.0,0.0
87,50.0,0.0
88,25.0,1.0
89,15.0,0.0
90,20.0,0.0
91,29.0,0.0
92,36.0,0.0
93,25.0,0.0
94,28.0,0.0
95,21.0,0.0
96,36.0,2.0
97,25.0,0.0
98,30.0,0.0
99,26.0,0.0
100,36.0,0.0
101,18.0,0.0
102,21.0,0.0
103,27.0,0.0
104,34.0,0.0
105,27.0,0.0
106,29.0,1.0
107,38.0,0.0
108,13.0,0.0
109,50.0,0.0
110,24.0,0.0
111,32.0,0.0
112,70.0,0.0
113,40.0,0.0
114,31.0,0.0
115,36.0,0.0
116,49.0,0.0
117,50.0,0.0
118,28.0,1.0
119,53.0,0.0
120,36.0,0.0
121,44.0,0.0
122,42.0,1.0
123,36.0,0.0
124,30.0,1.0
125,49.0,0.0
126,31.0,0.0
127,16.0,1.0
128,57.0,1.0
129,17.0,0.0
130,18.0,0.0
131,32.0,0.0
132,60.0,0.0
133,68.0,0.0
134,27.0,0.0
135,9.0,0.0
136,44.0,0.0
137,55.0,1.0
138,31.0,0.0
139,26.0,1.0
140,15.0,0.0
141,34.0,0.0
142,9.0,0.0
143,21.0,0.0
144,18.0,0.0
145,44.0,0.0
146,41.0,1.0
147,49.0,1.0
148,46.0,0.0
149,33.0,0.0
150,23.0,0.0
151,27.0,0.0
