,index,CANTIDAD
0,0,1.0
1,1,0.0
2,2,8.0
3,3,33.0
4,4,57.0
5,5,49.0
6,6,62.0
7,7,31.0
8,8,46.0
9,9,30.0
10,10,40.0
11,11,36.0
12,12,31.0
13,13,34.0
14,14,58.0
15,15,24.0
16,16,18.0
17,17,23.0
18,18,39.0
19,19,32.0
20,20,31.0
21,21,33.0
22,22,28.0
23,23,4.0
24,24,16.0
25,25,14.0
26,26,22.0
27,27,14.0
28,28,38.0
29,29,16.0
30,30,28.0
31,31,19.0
32,32,22.0
33,33,12.0
34,34,35.0
35,35,15.0
36,36,22.0
37,37,30.0
38,38,18.0
39,39,14.0
40,40,23.0
41,41,14.0
42,42,27.0
43,43,15.0
44,44,6.0
45,45,2.0
46,46,17.0
47,47,7.0
48,48,14.0
49,49,24.0
50,50,22.0
51,51,9.0
52,52,29.0
53,53,35.0
54,54,28.0
55,55,22.0
56,56,13.0
57,57,20.0
58,58,28.0
59,59,21.0
60,60,18.0
61,61,41.0
62,62,61.0
63,63,38.0
64,64,43.0
65,65,23.0
66,66,16.0
67,67,33.0
68,68,12.0
69,69,26.0
70,70,34.0
71,71,33.0
72,72,12.0
73,73,21.0
74,74,28.0
75,75,46.0
76,76,51.0
77,77,47.0
78,78,19.0
79,79,47.0
80,80,31.0
81,81,39.0
82,82,23.0
83,83,23.0
84,84,25.0
85,85,38.0
86,86,22.0
87,87,50.0
88,88,25.0
89,89,15.0
90,90,20.0
91,91,29.0
92,92,36.0
93,93,25.0
94,94,28.0
95,95,21.0
96,96,36.0
97,97,25.0
98,98,30.0
99,99,26.0
100,100,36.0
101,101,18.0
102,102,21.0
103,103,27.0
104,104,34.0
105,105,27.0
106,106,29.0
107,107,38.0
108,108,13.0
109,109,50.0
110,110,24.0
111,111,32.0
112,112,70.0
113,113,40.0
114,114,31.0
115,115,36.0
116,116,49.0
117,117,50.0
118,118,28.0
119,119,53.0
120,120,36.0
121,121,44.0
122,122,42.0
123,123,36.0
124,124,30.0
125,125,49.0
126,126,31.0
127,127,16.0
128,128,57.0
129,129,17.0
130,130,18.0
131,131,32.0
132,132,60.0
133,133,68.0
134,134,27.0
135,135,9.0
136,136,44.0
137,137,55.0
138,138,31.0
139,139,26.0
140,140,15.0
141,141,34.0
142,142,9.0
143,143,21.0
144,144,18.0
