,FECHA,ANO,MES,SEMANA,DIA_SEMANA,DIA_MES,CANTIDAD
0,2017-02-05,2017,2,5,6,5,1.0
1,2017-02-06,2017,2,6,0,6,0.0
2,2017-02-07,2017,2,6,1,7,8.0
3,2017-02-08,2017,2,6,2,8,33.0
4,2017-02-09,2017,2,6,3,9,57.0
5,2017-02-10,2017,2,6,4,10,49.0
6,2017-02-11,2017,2,6,5,11,62.0
7,2017-02-12,2017,2,6,6,12,31.0
8,2017-02-13,2017,2,7,0,13,46.0
9,2017-02-14,2017,2,7,1,14,30.0
10,2017-02-15,2017,2,7,2,15,40.0
11,2017-02-16,2017,2,7,3,16,36.0
12,2017-02-17,2017,2,7,4,17,31.0
13,2017-02-18,2017,2,7,5,18,34.0
14,2017-02-19,2017,2,7,6,19,58.0
15,2017-02-20,2017,2,8,0,20,24.0
16,2017-02-21,2017,2,8,1,21,18.0
17,2017-02-22,2017,2,8,2,22,23.0
18,2017-02-23,2017,2,8,3,23,39.0
19,2017-02-24,2017,2,8,4,24,32.0
20,2017-02-25,2017,2,8,5,25,31.0
21,2017-02-26,2017,2,8,6,26,33.0
22,2017-02-27,2017,2,9,0,27,28.0
23,2017-02-28,2017,2,9,1,28,4.0
24,2017-03-01,2017,3,9,2,1,16.0
25,2017-03-02,2017,3,9,3,2,14.0
26,2017-03-03,2017,3,9,4,3,22.0
27,2017-03-04,2017,3,9,5,4,14.0
28,2017-03-05,2017,3,9,6,5,38.0
29,2017-03-06,2017,3,10,0,6,16.0
30,2017-03-07,2017,3,10,1,7,28.0
31,2017-03-08,2017,3,10,2,8,19.0
32,2017-03-09,2017,3,10,3,9,22.0
33,2017-03-10,2017,3,10,4,10,12.0
34,2017-03-11,2017,3,10,5,11,35.0
35,2017-03-12,2017,3,10,6,12,15.0
36,2017-03-13,2017,3,11,0,13,22.0
37,2017-03-14,2017,3,11,1,14,30.0
38,2017-03-15,2017,3,11,2,15,18.0
39,2017-03-16,2017,3,11,3,16,14.0
40,2017-03-17,2017,3,11,4,17,23.0
41,2017-03-18,2017,3,11,5,18,14.0
42,2017-03-19,2017,3,11,6,19,27.0
43,2017-03-20,2017,3,12,0,20,15.0
44,2017-03-21,2017,3,12,1,21,6.0
45,2017-03-22,2017,3,12,2,22,2.0
46,2017-03-23,2017,3,12,3,23,17.0
47,2017-03-24,2017,3,12,4,24,7.0
48,2017-03-25,2017,3,12,5,25,14.0
49,2017-03-26,2017,3,12,6,26,24.0
50,2017-03-27,2017,3,13,0,27,22.0
51,2017-03-28,2017,3,13,1,28,9.0
52,2017-03-29,2017,3,13,2,29,29.0
53,2017-03-30,2017,3,13,3,30,35.0
54,2017-03-31,2017,3,13,4,31,28.0
55,2017-04-01,2017,4,13,5,1,22.0
56,2017-04-02,2017,4,13,6,2,13.0
57,2017-04-03,2017,4,14,0,3,20.0
58,2017-04-04,2017,4,14,1,4,28.0
59,2017-04-05,2017,4,14,2,5,21.0
60,2017-04-06,2017,4,14,3,6,18.0
61,2017-04-07,2017,4,14,4,7,41.0
62,2017-04-08,2017,4,14,5,8,61.0
63,2017-04-09,2017,4,14,6,9,38.0
64,2017-04-10,2017,4,15,0,10,43.0
65,2017-04-11,2017,4,15,1,11,23.0
66,2017-04-12,2017,4,15,2,12,16.0
67,2017-04-13,2017,4,15,3,13,33.0
68,2017-04-14,2017,4,15,4,14,12.0
69,2017-04-15,2017,4,15,5,15,26.0
70,2017-04-16,2017,4,15,6,16,34.0
71,2017-04-17,2017,4,16,0,17,33.0
72,2017-04-18,2017,4,16,1,18,12.0
73,2017-04-19,2017,4,16,2,19,21.0
74,2017-04-20,2017,4,16,3,20,28.0
75,2017-04-21,2017,4,16,4,21,46.0
76,2017-04-22,2017,4,16,5,22,51.0
77,2017-04-23,2017,4,16,6,23,47.0
78,2017-04-24,2017,4,17,0,24,19.0
79,2017-04-25,2017,4,17,1,25,47.0
80,2017-04-26,2017,4,17,2,26,31.0
81,2017-04-27,2017,4,17,3,27,39.0
82,2017-04-28,2017,4,17,4,28,23.0
83,2017-04-29,2017,4,17,5,29,23.0
84,2017-04-30,2017,4,17,6,30,25.0
