,index,CANTIDAD
0,0,748.0
1,1,607.0
2,2,894.0
3,3,952.0
4,4,1049.0
5,5,1038.0
6,6,1276.0
7,7,1727.0
8,8,1317.0
9,9,1439.0
10,10,1585.0
11,11,1798.0
12,12,1683.0
13,13,1695.0
14,14,2517.0
15,15,2060.0
16,16,2087.0
17,17,2151.0
18,18,1905.0
19,19,2424.0
20,20,2467.0
21,21,1900.0
22,22,1469.0
23,23,1488.0
24,24,2229.0
25,25,2307.0
26,26,2125.0
27,27,2674.0
28,28,1301.0
29,29,1597.0
30,30,1590.0
31,31,1928.0
32,32,2004.0
33,33,1723.0
34,34,1201.0
35,35,2161.0
36,36,2616.0
37,37,2797.0
38,38,5488.0
39,39,7081.0
40,40,4392.0
41,41,3429.0
42,42,5314.0
43,43,2880.0
44,44,1837.0
45,45,1436.0
46,46,1591.0
47,47,3301.0
48,48,3468.0
49,49,2629.0
50,50,2958.0
51,51,2137.0
52,52,1448.0
53,53,2158.0
54,54,2512.0
55,55,2861.0
56,56,2526.0
57,57,3057.0
58,58,2277.0
59,59,3174.0
60,60,3142.0
