,ANO,MES,CANTIDAD,x1
0,2017,2,748.0,0
1,2017,3,607.0,1
2,2017,4,894.0,2
3,2017,5,952.0,3
4,2017,6,1049.0,4
5,2017,7,1038.0,5
6,2017,8,1276.0,6
7,2017,9,1727.0,7
8,2017,10,1317.0,8
9,2017,11,1439.0,9
10,2017,12,1585.0,10
11,2018,1,1798.0,11
12,2018,2,1683.0,12
13,2018,3,1695.0,13
14,2018,4,2517.0,14
15,2018,5,2060.0,15
16,2018,6,2087.0,16
17,2018,7,2151.0,17
18,2018,8,1905.0,18
19,2018,9,2424.0,19
20,2018,10,2467.0,20
21,2018,11,1900.0,21
22,2018,12,1469.0,22
23,2019,1,1488.0,23
24,2019,2,2229.0,24
25,2019,3,2307.0,25
26,2019,4,2125.0,26
27,2019,5,2674.0,27
28,2019,6,1301.0,28
29,2019,7,1597.0,29
30,2019,8,1590.0,30
31,2019,9,1928.0,31
32,2019,10,2004.0,32
33,2019,11,1723.0,33
34,2019,12,1201.0,34
35,2020,1,2161.0,35
36,2020,2,2616.0,36
37,2020,3,2797.0,37
38,2020,4,5488.0,38
39,2020,5,7081.0,39
40,2020,6,4392.0,40
41,2020,7,3429.0,41
42,2020,8,5314.0,42
43,2020,9,2880.0,43
44,2020,10,1837.0,44
45,2020,11,1436.0,45
46,2020,12,1591.0,46
47,2021,1,3301.0,47
48,2021,2,3468.0,48
49,2021,3,2629.0,49
50,2021,4,2958.0,50
51,2021,5,2137.0,51
52,2021,6,1448.0,52
53,2021,7,2158.0,53
54,2021,8,2512.0,54
55,2021,9,2861.0,55
56,2021,10,2526.0,56
57,2021,11,3057.0,57
58,2021,12,2277.0,58
59,2022,1,3174.0,59
60,2022,2,3142.0,60
