,index,CANTIDAD
0,0,2.0
1,1,1.0
2,2,2.0
3,3,0.0
4,4,1.0
5,5,3.0
6,6,2.0
7,7,2.0
8,8,4.0
9,9,10.0
10,10,6.0
11,11,3.0
12,12,0.0
13,13,6.0
14,14,6.0
15,15,3.0
16,16,6.0
17,17,8.0
18,18,4.0
19,19,5.0
20,20,2.0
21,21,6.0
22,22,5.0
23,23,4.0
24,24,4.0
25,25,3.0
26,26,6.0
27,27,2.0
28,28,4.0
29,29,5.0
30,30,8.0
31,31,3.0
32,32,4.0
33,33,4.0
34,34,4.0
35,35,6.0
36,36,3.0
37,37,7.0
38,38,5.0
39,39,4.0
40,40,0.0
41,41,2.0
42,42,8.0
43,43,4.0
44,44,5.0
45,45,4.0
46,46,2.0
47,47,1.0
48,48,7.0
49,49,3.0
50,50,1.0
51,51,3.0
52,52,7.0
53,53,3.0
54,54,9.0
55,55,6.0
56,56,8.0
57,57,7.0
58,58,6.0
59,59,5.0
60,60,4.0
61,61,6.0
62,62,6.0
63,63,2.0
64,64,4.0
65,65,4.0
66,66,5.0
67,67,4.0
68,68,6.0
69,69,6.0
70,70,6.0
71,71,4.0
72,72,8.0
73,73,7.0
74,74,4.0
75,75,4.0
76,76,8.0
77,77,9.0
78,78,9.0
79,79,11.0
80,80,10.0
81,81,7.0
82,82,5.0
83,83,8.0
84,84,8.0
85,85,7.0
86,86,6.0
87,87,7.0
88,88,4.0
89,89,7.0
90,90,5.0
91,91,4.0
92,92,4.0
93,93,7.0
94,94,8.0
95,95,4.0
96,96,8.0
97,97,6.0
98,98,8.0
99,99,9.0
100,100,4.0
101,101,5.0
102,102,11.0
103,103,1.0
104,104,9.0
105,105,13.0
106,106,7.0
107,107,6.0
108,108,11.0
109,109,6.0
110,110,5.0
111,111,8.0
112,112,8.0
113,113,4.0
114,114,10.0
115,115,6.0
116,116,4.0
117,117,5.0
118,118,5.0
119,119,18.0
120,120,4.0
121,121,15.0
122,122,2.0
123,123,2.0
124,124,3.0
125,125,0.0
126,126,1.0
127,127,1.0
128,128,2.0
129,129,9.0
130,130,8.0
131,131,5.0
132,132,0.0
133,133,0.0
134,134,0.0
135,135,0.0
136,136,0.0
137,137,0.0
138,138,3.0
139,139,5.0
140,140,5.0
141,141,7.0
142,142,8.0
143,143,1.0
