,ANO,MES,CANTIDAD,x1
0,2010,1,2.0,0
1,2010,2,1.0,1
2,2010,3,2.0,2
3,2010,4,0.0,3
4,2010,5,1.0,4
5,2010,6,3.0,5
6,2010,7,2.0,6
7,2010,8,2.0,7
8,2010,9,4.0,8
9,2010,10,10.0,9
10,2010,11,6.0,10
11,2010,12,3.0,11
12,2011,1,0.0,12
13,2011,2,6.0,13
14,2011,3,6.0,14
15,2011,4,3.0,15
16,2011,5,6.0,16
17,2011,6,8.0,17
18,2011,7,4.0,18
19,2011,8,5.0,19
20,2011,9,2.0,20
21,2011,10,6.0,21
22,2011,11,5.0,22
23,2011,12,4.0,23
24,2012,1,4.0,24
25,2012,2,3.0,25
26,2012,3,6.0,26
27,2012,4,2.0,27
28,2012,5,4.0,28
29,2012,6,5.0,29
30,2012,7,8.0,30
31,2012,8,3.0,31
32,2012,9,4.0,32
33,2012,10,4.0,33
34,2012,11,4.0,34
35,2012,12,6.0,35
36,2013,1,3.0,36
37,2013,2,7.0,37
38,2013,3,5.0,38
39,2013,4,4.0,39
40,2013,5,0.0,40
41,2013,6,2.0,41
42,2013,7,8.0,42
43,2013,8,4.0,43
44,2013,9,5.0,44
45,2013,10,4.0,45
46,2013,11,2.0,46
47,2013,12,1.0,47
48,2014,1,7.0,48
49,2014,2,3.0,49
50,2014,3,1.0,50
51,2014,4,3.0,51
52,2014,5,7.0,52
53,2014,6,3.0,53
54,2014,7,9.0,54
55,2014,8,6.0,55
56,2014,9,8.0,56
57,2014,10,7.0,57
58,2014,11,6.0,58
59,2014,12,5.0,59
60,2015,1,4.0,60
61,2015,2,6.0,61
62,2015,3,6.0,62
63,2015,4,2.0,63
64,2015,5,4.0,64
65,2015,6,4.0,65
66,2015,7,5.0,66
67,2015,8,4.0,67
68,2015,9,6.0,68
69,2015,10,6.0,69
70,2015,11,6.0,70
71,2015,12,4.0,71
72,2016,1,8.0,72
73,2016,2,7.0,73
74,2016,3,4.0,74
75,2016,4,4.0,75
76,2016,5,8.0,76
77,2016,6,9.0,77
78,2016,7,9.0,78
79,2016,8,11.0,79
80,2016,9,10.0,80
81,2016,10,7.0,81
82,2016,11,5.0,82
83,2016,12,8.0,83
84,2017,1,8.0,84
85,2017,2,7.0,85
86,2017,3,6.0,86
87,2017,4,7.0,87
88,2017,5,4.0,88
89,2017,6,7.0,89
90,2017,7,5.0,90
91,2017,8,4.0,91
92,2017,9,4.0,92
93,2017,10,7.0,93
94,2017,11,8.0,94
95,2017,12,4.0,95
96,2018,1,8.0,96
97,2018,2,6.0,97
98,2018,3,8.0,98
99,2018,4,9.0,99
100,2018,5,4.0,100
101,2018,6,5.0,101
102,2018,7,11.0,102
103,2018,8,1.0,103
104,2018,9,9.0,104
105,2018,10,13.0,105
106,2018,11,7.0,106
107,2018,12,6.0,107
108,2019,1,11.0,108
109,2019,2,6.0,109
110,2019,3,5.0,110
111,2019,4,8.0,111
112,2019,5,8.0,112
113,2019,6,4.0,113
114,2019,7,10.0,114
115,2019,8,6.0,115
116,2019,9,4.0,116
117,2019,10,5.0,117
118,2019,11,5.0,118
119,2019,12,18.0,119
120,2020,1,4.0,120
121,2020,2,15.0,121
122,2020,3,2.0,122
123,2020,4,2.0,123
124,2020,5,3.0,124
125,2020,6,0.0,125
126,2020,7,1.0,126
127,2020,8,1.0,127
128,2020,9,2.0,128
129,2020,10,9.0,129
130,2020,11,8.0,130
131,2020,12,5.0,131
132,2021,1,0.0,132
133,2021,2,0.0,133
134,2021,3,0.0,134
135,2021,4,0.0,135
136,2021,5,0.0,136
137,2021,6,0.0,137
138,2021,7,3.0,138
139,2021,8,5.0,139
140,2021,9,5.0,140
141,2021,10,7.0,141
142,2021,11,8.0,142
143,2021,12,1.0,143
