,CANTIDAD_CORRECTIVAS,CANTIDAD_CRIMENES
0,1.0,0.0
1,240.0,1.0
2,275.0,1.0
3,200.0,3.0
4,32.0,1.0
5,104.0,2.0
6,147.0,2.0
7,148.0,0.0
8,85.0,0.0
9,123.0,2.0
10,35.0,0.0
11,227.0,4.0
12,187.0,1.0
13,238.0,1.0
14,207.0,1.0
15,199.0,1.0
16,201.0,2.0
17,189.0,0.0
18,256.0,1.0
19,107.0,0.0
20,180.0,1.0
21,268.0,2.0
22,268.0,2.0
23,207.0,2.0
24,126.0,0.0
25,90.0,2.0
26,261.0,1.0
27,229.0,2.0
28,205.0,0.0
29,219.0,0.0
30,34.0,0.0
31,186.0,0.0
32,354.0,1.0
33,325.0,1.0
34,302.0,0.0
35,109.0,2.0
36,163.0,0.0
37,349.0,0.0
38,370.0,3.0
39,369.0,1.0
40,476.0,0.0
41,54.0,1.0
42,318.0,0.0
43,350.0,3.0
44,281.0,1.0
45,247.0,2.0
46,67.0,0.0
47,165.0,0.0
48,344.0,2.0
49,433.0,0.0
50,340.0,2.0
51,157.0,4.0
52,207.0,0.0
53,364.0,2.0
54,485.0,0.0
55,326.0,1.0
56,203.0,1.0
57,283.0,2.0
58,415.0,1.0
59,533.0,3.0
60,418.0,1.0
61,149.0,1.0
62,237.0,2.0
63,519.0,1.0
64,440.0,2.0
65,345.0,1.0
66,142.0,0.0
67,227.0,0.0
68,450.0,2.0
69,411.0,1.0
70,349.0,3.0
71,258.0,2.0
72,19.0,0.0
73,608.0,1.0
74,628.0,3.0
75,554.0,3.0
76,635.0,1.0
77,73.0,1.0
78,403.0,0.0
79,435.0,1.0
80,471.0,1.0
81,459.0,1.0
82,292.0,1.0
83,188.0,0.0
84,471.0,1.0
85,440.0,1.0
86,512.0,2.0
87,476.0,1.0
88,54.0,0.0
89,526.0,1.0
90,519.0,5.0
91,517.0,3.0
92,410.0,1.0
93,125.0,1.0
94,295.0,1.0
95,409.0,0.0
96,518.0,0.0
97,425.0,0.0
98,258.0,0.0
99,153.0,0.0
100,508.0,2.0
101,582.0,3.0
102,550.0,3.0
103,631.0,1.0
104,519.0,0.0
105,566.0,3.0
106,629.0,5.0
107,508.0,4.0
108,245.0,1.0
109,259.0,0.0
110,419.0,1.0
111,426.0,2.0
112,446.0,3.0
113,350.0,1.0
114,82.0,1.0
115,465.0,1.0
116,333.0,2.0
117,370.0,1.0
118,219.0,0.0
119,165.0,3.0
120,341.0,3.0
121,345.0,1.0
122,399.0,2.0
123,238.0,2.0
124,177.0,4.0
125,647.0,0.0
126,630.0,0.0
127,477.0,2.0
128,298.0,0.0
129,279.0,0.0
130,531.0,4.0
131,490.0,1.0
132,512.0,0.0
133,495.0,0.0
134,470.0,1.0
135,565.0,4.0
136,353.0,0.0
137,559.0,2.0
138,178.0,1.0
139,418.0,2.0
140,609.0,2.0
141,680.0,1.0
142,590.0,2.0
143,377.0,1.0
144,146.0,0.0
145,386.0,0.0
146,232.0,1.0
147,316.0,1.0
148,221.0,2.0
149,291.0,1.0
150,225.0,2.0
151,348.0,2.0
152,517.0,0.0
153,216.0,5.0
154,233.0,0.0
155,363.0,3.0
156,373.0,3.0
157,319.0,0.0
158,302.0,0.0
159,73.0,0.0
160,360.0,2.0
161,477.0,0.0
162,455.0,2.0
163,519.0,0.0
164,44.0,0.0
165,454.0,2.0
166,493.0,1.0
167,334.0,0.0
168,450.0,1.0
169,273.0,1.0
170,182.0,2.0
171,369.0,0.0
172,439.0,0.0
173,434.0,2.0
174,299.0,1.0
175,0.0,1.0
176,44.0,1.0
177,290.0,6.0
178,367.0,5.0
179,281.0,0.0
180,219.0,3.0
181,208.0,0.0
182,354.0,1.0
183,517.0,1.0
184,509.0,2.0
185,398.0,0.0
186,175.0,0.0
187,180.0,2.0
188,725.0,5.0
189,675.0,5.0
190,594.0,1.0
191,442.0,2.0
192,51.0,0.0
193,528.0,1.0
194,426.0,0.0
195,434.0,0.0
196,1015.0,1.0
197,343.0,0.0
198,1064.0,0.0
199,1191.0,1.0
200,1299.0,0.0
201,988.0,1.0
202,946.0,0.0
203,529.0,0.0
204,1274.0,2.0
205,1970.0,1.0
206,2005.0,0.0
207,1303.0,0.0
208,1306.0,0.0
209,735.0,0.0
210,989.0,0.0
211,1119.0,0.0
212,243.0,0.0
213,536.0,0.0
214,743.0,1.0
215,767.0,0.0
216,851.0,0.0
217,532.0,0.0
218,382.0,0.0
219,1321.0,0.0
220,1180.0,0.0
221,1273.0,0.0
222,1099.0,1.0
223,59.0,0.0
224,972.0,0.0
225,748.0,1.0
226,515.0,1.0
227,552.0,0.0
228,93.0,0.0
229,294.0,2.0
230,539.0,2.0
231,378.0,2.0
232,382.0,1.0
233,244.0,2.0
234,62.0,0.0
235,385.0,4.0
236,388.0,2.0
237,288.0,2.0
238,262.0,0.0
239,51.0,0.0
240,21.0,3.0
241,259.0,2.0
242,384.0,2.0
243,368.0,0.0
244,493.0,0.0
245,66.0,1.0
246,634.0,0.0
247,622.0,0.0
248,787.0,0.0
249,1024.0,0.0
250,863.0,0.0
251,785.0,0.0
252,947.0,0.0
