,index,CANTIDAD
0,0,1.0
1,1,240.0
2,2,275.0
3,3,200.0
4,4,32.0
5,5,104.0
6,6,147.0
7,7,148.0
8,8,85.0
9,9,123.0
10,10,35.0
11,11,227.0
12,12,187.0
13,13,238.0
14,14,207.0
15,15,199.0
16,16,201.0
17,17,189.0
18,18,256.0
19,19,107.0
20,20,180.0
21,21,268.0
22,22,268.0
23,23,207.0
24,24,126.0
25,25,90.0
26,26,261.0
27,27,229.0
28,28,205.0
29,29,219.0
30,30,34.0
31,31,186.0
32,32,354.0
33,33,325.0
34,34,302.0
35,35,109.0
36,36,163.0
37,37,349.0
38,38,370.0
39,39,369.0
40,40,476.0
41,41,54.0
42,42,318.0
43,43,350.0
44,44,281.0
45,45,247.0
46,46,67.0
47,47,165.0
48,48,344.0
49,49,433.0
50,50,340.0
51,51,157.0
52,52,207.0
53,53,364.0
54,54,485.0
55,55,326.0
56,56,203.0
57,57,283.0
58,58,415.0
59,59,533.0
60,60,418.0
61,61,149.0
62,62,237.0
63,63,519.0
64,64,440.0
65,65,345.0
66,66,142.0
67,67,227.0
68,68,450.0
69,69,411.0
70,70,349.0
71,71,258.0
72,72,19.0
73,73,608.0
74,74,628.0
75,75,554.0
76,76,635.0
77,77,73.0
78,78,403.0
79,79,435.0
80,80,471.0
81,81,459.0
82,82,292.0
83,83,188.0
84,84,471.0
85,85,440.0
86,86,512.0
87,87,476.0
88,88,54.0
89,89,526.0
90,90,519.0
91,91,517.0
92,92,410.0
93,93,125.0
94,94,295.0
95,95,409.0
96,96,518.0
97,97,425.0
98,98,258.0
99,99,153.0
100,100,508.0
101,101,582.0
102,102,550.0
103,103,631.0
104,104,519.0
105,105,566.0
106,106,629.0
107,107,508.0
108,108,245.0
109,109,259.0
110,110,419.0
111,111,426.0
112,112,446.0
113,113,350.0
114,114,82.0
115,115,465.0
116,116,333.0
117,117,370.0
118,118,219.0
119,119,165.0
120,120,341.0
121,121,345.0
122,122,399.0
123,123,238.0
124,124,177.0
125,125,647.0
126,126,630.0
127,127,477.0
128,128,298.0
129,129,279.0
130,130,531.0
131,131,490.0
132,132,512.0
133,133,495.0
134,134,470.0
135,135,565.0
136,136,353.0
137,137,559.0
138,138,178.0
139,139,418.0
140,140,609.0
141,141,680.0
142,142,590.0
143,143,377.0
144,144,146.0
145,145,386.0
146,146,232.0
147,147,316.0
148,148,221.0
149,149,291.0
150,150,225.0
151,151,348.0
152,152,517.0
153,153,216.0
154,154,233.0
155,155,363.0
156,156,373.0
157,157,319.0
158,158,302.0
159,159,73.0
160,160,360.0
161,161,477.0
162,162,455.0
163,163,519.0
164,164,44.0
165,165,454.0
166,166,493.0
167,167,334.0
168,168,450.0
169,169,273.0
170,170,182.0
171,171,369.0
172,172,439.0
173,173,434.0
174,174,299.0
175,175,0.0
176,176,44.0
177,177,290.0
178,178,367.0
179,179,281.0
180,180,219.0
181,181,208.0
182,182,354.0
183,183,517.0
184,184,509.0
185,185,398.0
186,186,175.0
187,187,180.0
188,188,725.0
189,189,675.0
190,190,594.0
191,191,442.0
192,192,51.0
193,193,528.0
194,194,426.0
195,195,434.0
196,196,1015.0
197,197,343.0
198,198,1064.0
199,199,1191.0
200,200,1299.0
201,201,988.0
202,202,946.0
203,203,529.0
204,204,1274.0
205,205,1970.0
206,206,2005.0
207,207,1303.0
208,208,1306.0
209,209,735.0
210,210,989.0
211,211,1119.0
212,212,243.0
213,213,536.0
214,214,743.0
215,215,767.0
216,216,851.0
217,217,532.0
218,218,382.0
219,219,1321.0
220,220,1180.0
221,221,1273.0
222,222,1099.0
223,223,59.0
224,224,972.0
225,225,748.0
226,226,515.0
227,227,552.0
228,228,93.0
229,229,294.0
230,230,539.0
231,231,378.0
232,232,382.0
233,233,244.0
234,234,62.0
235,235,385.0
236,236,388.0
237,237,288.0
238,238,262.0
239,239,51.0
240,240,21.0
241,241,259.0
242,242,384.0
243,243,368.0
244,244,493.0
245,245,66.0
246,246,634.0
247,247,622.0
248,248,787.0
249,249,1024.0
250,250,234.0
251,251,863.0
252,252,785.0
253,253,947.0
254,254,873.0
255,255,660.0
256,256,548.0
257,257,508.0
258,258,590.0
259,259,323.0
260,260,473.0
261,261,534.0
262,262,626.0
263,263,695.0
264,264,630.0
265,265,599.0
266,266,400.0
267,267,491.0
268,268,362.0
269,269,269.0
270,270,16.0
271,271,182.0
272,272,233.0
273,273,492.0
274,274,415.0
275,275,126.0
276,276,293.0
277,277,479.0
278,278,565.0
279,279,443.0
280,280,378.0
281,281,92.0
282,282,528.0
283,283,471.0
284,284,565.0
285,285,629.0
286,286,227.0
287,287,546.0
288,288,671.0
289,289,601.0
290,290,630.0
291,291,413.0
292,292,232.0
293,293,560.0
294,294,557.0
295,295,608.0
296,296,569.0
297,297,588.0
298,298,877.0
299,299,742.0
300,300,671.0
301,301,179.0
302,302,314.0
303,303,583.0
304,304,762.0
305,305,455.0
306,306,163.0
307,307,476.0
308,308,740.0
309,309,969.0
310,310,903.0
311,311,86.0
312,312,591.0
313,313,590.0
314,314,735.0
315,315,1077.0
316,316,149.0
