,ANO,MES,SEMANA,CANTIDAD,x1
0,2017,2,5,1.0,0
1,2017,2,6,240.0,1
2,2017,2,7,275.0,2
3,2017,2,8,200.0,3
4,2017,2,9,32.0,4
5,2017,3,9,104.0,5
6,2017,3,10,147.0,6
7,2017,3,11,148.0,7
8,2017,3,12,85.0,8
9,2017,3,13,123.0,9
10,2017,4,13,35.0,10
11,2017,4,14,227.0,11
12,2017,4,15,187.0,12
13,2017,4,16,238.0,13
14,2017,4,17,207.0,14
15,2017,5,18,199.0,15
16,2017,5,19,201.0,16
17,2017,5,20,189.0,17
18,2017,5,21,256.0,18
19,2017,5,22,107.0,19
20,2017,6,22,180.0,20
21,2017,6,23,268.0,21
22,2017,6,24,268.0,22
23,2017,6,25,207.0,23
24,2017,6,26,126.0,24
25,2017,7,26,90.0,25
26,2017,7,27,261.0,26
27,2017,7,28,229.0,27
28,2017,7,29,205.0,28
29,2017,7,30,219.0,29
30,2017,7,31,34.0,30
31,2017,8,31,186.0,31
32,2017,8,32,354.0,32
33,2017,8,33,325.0,33
34,2017,8,34,302.0,34
35,2017,8,35,109.0,35
36,2017,9,35,163.0,36
37,2017,9,36,349.0,37
38,2017,9,37,370.0,38
39,2017,9,38,369.0,39
40,2017,9,39,476.0,40
41,2017,10,39,54.0,41
42,2017,10,40,318.0,42
43,2017,10,41,350.0,43
44,2017,10,42,281.0,44
45,2017,10,43,247.0,45
46,2017,10,44,67.0,46
47,2017,11,44,165.0,47
48,2017,11,45,344.0,48
49,2017,11,46,433.0,49
50,2017,11,47,340.0,50
51,2017,11,48,157.0,51
52,2017,12,48,207.0,52
53,2017,12,49,364.0,53
54,2017,12,50,485.0,54
55,2017,12,51,326.0,55
56,2017,12,52,203.0,56
57,2018,1,1,283.0,57
58,2018,1,2,415.0,58
59,2018,1,3,533.0,59
60,2018,1,4,418.0,60
61,2018,1,5,149.0,61
62,2018,2,5,237.0,62
63,2018,2,6,519.0,63
64,2018,2,7,440.0,64
65,2018,2,8,345.0,65
66,2018,2,9,142.0,66
67,2018,3,9,227.0,67
68,2018,3,10,450.0,68
69,2018,3,11,411.0,69
70,2018,3,12,349.0,70
71,2018,3,13,258.0,71
72,2018,4,13,19.0,72
73,2018,4,14,608.0,73
74,2018,4,15,628.0,74
75,2018,4,16,554.0,75
76,2018,4,17,635.0,76
77,2018,4,18,73.0,77
78,2018,5,18,403.0,78
79,2018,5,19,435.0,79
80,2018,5,20,471.0,80
81,2018,5,21,459.0,81
82,2018,5,22,292.0,82
83,2018,6,22,188.0,83
84,2018,6,23,471.0,84
85,2018,6,24,440.0,85
86,2018,6,25,512.0,86
87,2018,6,26,476.0,87
88,2018,7,26,54.0,88
89,2018,7,27,526.0,89
90,2018,7,28,519.0,90
91,2018,7,29,517.0,91
92,2018,7,30,410.0,92
93,2018,7,31,125.0,93
94,2018,8,31,295.0,94
95,2018,8,32,409.0,95
96,2018,8,33,518.0,96
97,2018,8,34,425.0,97
98,2018,8,35,258.0,98
99,2018,9,35,153.0,99
100,2018,9,36,508.0,100
101,2018,9,37,582.0,101
102,2018,9,38,550.0,102
103,2018,9,39,631.0,103
104,2018,10,40,519.0,104
105,2018,10,41,566.0,105
106,2018,10,42,629.0,106
107,2018,10,43,508.0,107
108,2018,10,44,245.0,108
109,2018,11,44,259.0,109
110,2018,11,45,419.0,110
111,2018,11,46,426.0,111
112,2018,11,47,446.0,112
113,2018,11,48,350.0,113
114,2018,12,48,82.0,114
115,2018,12,49,465.0,115
116,2018,12,50,333.0,116
117,2018,12,51,370.0,117
118,2018,12,52,219.0,118
119,2019,1,1,165.0,119
120,2019,1,2,341.0,120
121,2019,1,3,345.0,121
122,2019,1,4,399.0,122
123,2019,1,5,238.0,123
124,2019,2,5,177.0,124
125,2019,2,6,647.0,125
126,2019,2,7,630.0,126
127,2019,2,8,477.0,127
128,2019,2,9,298.0,128
129,2019,3,9,279.0,129
130,2019,3,10,531.0,130
131,2019,3,11,490.0,131
132,2019,3,12,512.0,132
133,2019,3,13,495.0,133
134,2019,4,14,470.0,134
135,2019,4,15,565.0,135
136,2019,4,16,353.0,136
137,2019,4,17,559.0,137
138,2019,4,18,178.0,138
139,2019,5,18,418.0,139
140,2019,5,19,609.0,140
141,2019,5,20,680.0,141
142,2019,5,21,590.0,142
143,2019,5,22,377.0,143
144,2019,6,22,146.0,144
145,2019,6,23,386.0,145
146,2019,6,24,232.0,146
147,2019,6,25,316.0,147
148,2019,6,26,221.0,148
149,2019,7,27,291.0,149
150,2019,7,28,225.0,150
151,2019,7,29,348.0,151
152,2019,7,30,517.0,152
153,2019,7,31,216.0,153
154,2019,8,31,233.0,154
155,2019,8,32,363.0,155
156,2019,8,33,373.0,156
157,2019,8,34,319.0,157
158,2019,8,35,302.0,158
159,2019,9,35,73.0,159
160,2019,9,36,360.0,160
161,2019,9,37,477.0,161
162,2019,9,38,455.0,162
163,2019,9,39,519.0,163
164,2019,9,40,44.0,164
165,2019,10,40,454.0,165
166,2019,10,41,493.0,166
167,2019,10,42,334.0,167
168,2019,10,43,450.0,168
169,2019,10,44,273.0,169
170,2019,11,44,182.0,170
171,2019,11,45,369.0,171
172,2019,11,46,439.0,172
173,2019,11,47,434.0,173
174,2019,11,48,299.0,174
175,2019,12,1,0.0,175
176,2019,12,48,44.0,176
177,2019,12,49,290.0,177
178,2019,12,50,367.0,178
179,2019,12,51,281.0,179
180,2019,12,52,219.0,180
181,2020,1,1,208.0,181
182,2020,1,2,354.0,182
183,2020,1,3,517.0,183
184,2020,1,4,509.0,184
185,2020,1,5,398.0,185
186,2020,1,53,175.0,186
187,2020,2,5,180.0,187
188,2020,2,6,725.0,188
189,2020,2,7,675.0,189
190,2020,2,8,594.0,190
191,2020,2,9,442.0,191
192,2020,3,9,51.0,192
193,2020,3,10,528.0,193
194,2020,3,11,426.0,194
195,2020,3,12,434.0,195
196,2020,3,13,1015.0,196
197,2020,3,14,343.0,197
198,2020,4,14,1064.0,198
199,2020,4,15,1191.0,199
200,2020,4,16,1299.0,200
201,2020,4,17,988.0,201
202,2020,4,18,946.0,202
203,2020,5,18,529.0,203
204,2020,5,19,1274.0,204
205,2020,5,20,1970.0,205
206,2020,5,21,2005.0,206
207,2020,5,22,1303.0,207
208,2020,6,23,1306.0,208
209,2020,6,24,735.0,209
210,2020,6,25,989.0,210
211,2020,6,26,1119.0,211
212,2020,6,27,243.0,212
213,2020,7,27,536.0,213
214,2020,7,28,743.0,214
215,2020,7,29,767.0,215
216,2020,7,30,851.0,216
217,2020,7,31,532.0,217
218,2020,8,31,382.0,218
219,2020,8,32,1321.0,219
220,2020,8,33,1180.0,220
221,2020,8,34,1273.0,221
222,2020,8,35,1099.0,222
223,2020,8,36,59.0,223
224,2020,9,36,972.0,224
225,2020,9,37,748.0,225
226,2020,9,38,515.0,226
227,2020,9,39,552.0,227
228,2020,9,40,93.0,228
229,2020,10,40,294.0,229
230,2020,10,41,539.0,230
231,2020,10,42,378.0,231
232,2020,10,43,382.0,232
233,2020,10,44,244.0,233
234,2020,11,44,62.0,234
235,2020,11,45,385.0,235
236,2020,11,46,388.0,236
237,2020,11,47,288.0,237
238,2020,11,48,262.0,238
239,2020,11,49,51.0,239
240,2020,12,1,21.0,240
241,2020,12,49,259.0,241
242,2020,12,50,384.0,242
243,2020,12,51,368.0,243
244,2020,12,52,493.0,244
245,2020,12,53,66.0,245
246,2021,1,1,634.0,246
247,2021,1,2,622.0,247
248,2021,1,3,787.0,248
249,2021,1,4,1024.0,249
250,2021,1,52,234.0,250
251,2021,2,5,863.0,251
252,2021,2,6,785.0,252
253,2021,2,7,947.0,253
254,2021,2,8,873.0,254
255,2021,3,9,660.0,255
256,2021,3,10,548.0,256
257,2021,3,11,508.0,257
258,2021,3,12,590.0,258
259,2021,3,13,323.0,259
260,2021,4,13,473.0,260
261,2021,4,14,534.0,261
262,2021,4,15,626.0,262
263,2021,4,16,695.0,263
264,2021,4,17,630.0,264
265,2021,5,17,599.0,265
266,2021,5,18,400.0,266
267,2021,5,19,491.0,267
268,2021,5,20,362.0,268
269,2021,5,21,269.0,269
270,2021,5,22,16.0,270
271,2021,6,22,182.0,271
272,2021,6,23,233.0,272
273,2021,6,24,492.0,273
274,2021,6,25,415.0,274
275,2021,6,26,126.0,275
276,2021,7,26,293.0,276
277,2021,7,27,479.0,277
278,2021,7,28,565.0,278
279,2021,7,29,443.0,279
280,2021,7,30,378.0,280
281,2021,8,30,92.0,281
282,2021,8,31,528.0,282
283,2021,8,32,471.0,283
284,2021,8,33,565.0,284
285,2021,8,34,629.0,285
286,2021,8,35,227.0,286
287,2021,9,35,546.0,287
288,2021,9,36,671.0,288
289,2021,9,37,601.0,289
290,2021,9,38,630.0,290
291,2021,9,39,413.0,291
292,2021,10,39,232.0,292
293,2021,10,40,560.0,293
294,2021,10,41,557.0,294
295,2021,10,42,608.0,295
296,2021,10,43,569.0,296
297,2021,11,44,588.0,297
298,2021,11,45,877.0,298
299,2021,11,46,742.0,299
300,2021,11,47,671.0,300
301,2021,11,48,179.0,301
302,2021,12,48,314.0,302
303,2021,12,49,583.0,303
304,2021,12,50,762.0,304
305,2021,12,51,455.0,305
306,2021,12,52,163.0,306
307,2022,1,1,476.0,307
308,2022,1,2,740.0,308
309,2022,1,3,969.0,309
310,2022,1,4,903.0,310
311,2022,1,5,86.0,311
312,2022,2,5,591.0,312
313,2022,2,6,590.0,313
314,2022,2,7,735.0,314
315,2022,2,8,1077.0,315
316,2022,2,9,149.0,316
