,index,CANTIDAD
0,0,1.0
1,1,1.0
2,2,0.0
3,3,0.0
4,4,0.0
5,5,0.0
6,6,0.0
7,7,1.0
8,8,1.0
9,9,0.0
10,10,0.0
11,11,1.0
12,12,0.0
13,13,0.0
14,14,0.0
15,15,0.0
16,16,0.0
17,17,0.0
18,18,0.0
19,19,0.0
20,20,1.0
21,21,0.0
22,22,0.0
23,23,0.0
24,24,1.0
25,25,0.0
26,26,1.0
27,27,0.0
28,28,1.0
29,29,0.0
30,30,2.0
31,31,0.0
32,32,0.0
33,33,0.0
34,34,0.0
35,35,0.0
36,36,0.0
37,37,1.0
38,38,1.0
39,39,0.0
40,40,0.0
41,41,2.0
42,42,1.0
43,43,1.0
44,44,0.0
45,45,1.0
46,46,2.0
47,47,4.0
48,48,3.0
49,49,0.0
50,50,2.0
51,51,1.0
52,52,1.0
53,53,2.0
54,54,0.0
55,55,1.0
56,56,0.0
57,57,2.0
58,58,0.0
59,59,0.0
60,60,0.0
61,61,0.0
62,62,0.0
63,63,0.0
64,64,0.0
65,65,0.0
66,66,2.0
67,67,2.0
68,68,1.0
69,69,0.0
70,70,1.0
71,71,2.0
72,72,1.0
73,73,2.0
74,74,1.0
75,75,0.0
76,76,0.0
77,77,1.0
78,78,1.0
79,79,0.0
80,80,1.0
81,81,0.0
82,82,4.0
83,83,0.0
84,84,1.0
85,85,1.0
86,86,0.0
87,87,3.0
88,88,1.0
89,89,0.0
90,90,3.0
91,91,1.0
92,92,0.0
93,93,1.0
94,94,1.0
95,95,2.0
96,96,0.0
97,97,1.0
98,98,1.0
99,99,1.0
100,100,1.0
101,101,1.0
102,102,0.0
103,103,2.0
104,104,0.0
105,105,0.0
106,106,0.0
107,107,0.0
108,108,1.0
109,109,2.0
110,110,1.0
111,111,2.0
112,112,0.0
113,113,1.0
114,114,2.0
115,115,0.0
116,116,1.0
117,117,1.0
118,118,0.0
119,119,1.0
120,120,1.0
121,121,1.0
122,122,1.0
123,123,0.0
124,124,0.0
125,125,1.0
126,126,2.0
127,127,1.0
128,128,0.0
129,129,1.0
130,130,1.0
131,131,1.0
132,132,0.0
133,133,0.0
134,134,0.0
135,135,1.0
136,136,0.0
137,137,3.0
138,138,2.0
139,139,0.0
140,140,0.0
141,141,1.0
142,142,0.0
143,143,1.0
144,144,0.0
145,145,1.0
146,146,0.0
147,147,2.0
148,148,0.0
149,149,1.0
150,150,0.0
151,151,0.0
152,152,1.0
153,153,4.0
154,154,0.0
155,155,0.0
156,156,1.0
157,157,3.0
158,158,3.0
159,159,1.0
160,160,0.0
161,161,0.0
162,162,0.0
163,163,0.0
164,164,2.0
165,165,1.0
166,166,0.0
167,167,0.0
168,168,0.0
169,169,1.0
170,170,3.0
171,171,0.0
172,172,0.0
173,173,2.0
174,174,1.0
175,175,1.0
176,176,0.0
177,177,1.0
178,178,1.0
179,179,1.0
180,180,1.0
181,181,1.0
182,182,0.0
183,183,1.0
184,184,0.0
185,185,2.0
186,186,2.0
187,187,0.0
188,188,1.0
189,189,0.0
190,190,1.0
191,191,1.0
192,192,1.0
193,193,0.0
194,194,4.0
195,195,1.0
196,196,1.0
197,197,1.0
198,198,1.0
199,199,1.0
200,200,2.0
201,201,0.0
202,202,2.0
203,203,0.0
204,204,1.0
205,205,1.0
206,206,0.0
207,207,0.0
208,208,0.0
209,209,0.0
210,210,0.0
211,211,0.0
212,212,0.0
213,213,1.0
214,214,1.0
215,215,0.0
216,216,0.0
217,217,2.0
218,218,1.0
219,219,0.0
220,220,4.0
221,221,1.0
222,222,0.0
223,223,0.0
224,224,1.0
225,225,3.0
226,226,0.0
227,227,0.0
