,ANO,MES,SEMANA,CANTIDAD,x1
0,2010,1,1,1.0,0
1,2010,1,2,1.0,1
2,2010,1,3,0.0,2
3,2010,1,4,0.0,3
4,2010,2,5,0.0,4
5,2010,2,6,0.0,5
6,2010,2,7,0.0,6
7,2010,2,8,1.0,7
8,2010,3,9,1.0,8
9,2010,3,10,0.0,9
10,2010,3,11,0.0,10
11,2010,3,12,1.0,11
12,2010,3,13,0.0,12
13,2010,4,13,0.0,13
14,2010,4,14,0.0,14
15,2010,4,15,0.0,15
16,2010,4,16,0.0,16
17,2010,4,17,0.0,17
18,2010,5,17,0.0,18
19,2010,5,18,0.0,19
20,2010,5,19,1.0,20
21,2010,5,20,0.0,21
22,2010,5,21,0.0,22
23,2010,5,22,0.0,23
24,2010,6,22,1.0,24
25,2010,6,23,0.0,25
26,2010,6,24,1.0,26
27,2010,6,25,0.0,27
28,2010,6,26,1.0,28
29,2010,7,26,0.0,29
30,2010,7,27,2.0,30
31,2010,7,28,0.0,31
32,2010,7,29,0.0,32
33,2010,7,30,0.0,33
34,2010,8,30,0.0,34
35,2010,8,31,0.0,35
36,2010,8,32,0.0,36
37,2010,8,33,1.0,37
38,2010,8,34,1.0,38
39,2010,8,35,0.0,39
40,2010,9,35,0.0,40
41,2010,9,36,2.0,41
42,2010,9,37,1.0,42
43,2010,9,38,1.0,43
44,2010,9,39,0.0,44
45,2010,10,39,1.0,45
46,2010,10,40,2.0,46
47,2010,10,41,4.0,47
48,2010,10,42,3.0,48
49,2010,10,43,0.0,49
50,2010,11,44,2.0,50
51,2010,11,45,1.0,51
52,2010,11,46,1.0,52
53,2010,11,47,2.0,53
54,2010,11,48,0.0,54
55,2010,12,48,1.0,55
56,2010,12,49,0.0,56
57,2010,12,50,2.0,57
58,2010,12,51,0.0,58
59,2010,12,52,0.0,59
60,2011,1,1,0.0,60
61,2011,1,2,0.0,61
62,2011,1,3,0.0,62
63,2011,1,4,0.0,63
64,2011,1,5,0.0,64
65,2011,1,52,0.0,65
66,2011,2,5,2.0,66
67,2011,2,6,2.0,67
68,2011,2,7,1.0,68
69,2011,2,8,0.0,69
70,2011,2,9,1.0,70
71,2011,3,9,2.0,71
72,2011,3,10,1.0,72
73,2011,3,11,2.0,73
74,2011,3,12,1.0,74
75,2011,3,13,0.0,75
76,2011,4,13,0.0,76
77,2011,4,14,1.0,77
78,2011,4,15,1.0,78
79,2011,4,16,0.0,79
80,2011,4,17,1.0,80
81,2011,5,17,0.0,81
82,2011,5,18,4.0,82
83,2011,5,19,0.0,83
84,2011,5,20,1.0,84
85,2011,5,21,1.0,85
86,2011,5,22,0.0,86
87,2011,6,22,3.0,87
88,2011,6,23,1.0,88
89,2011,6,24,0.0,89
90,2011,6,25,3.0,90
91,2011,6,26,1.0,91
92,2011,7,26,0.0,92
93,2011,7,27,1.0,93
94,2011,7,28,1.0,94
95,2011,7,29,2.0,95
96,2011,7,30,0.0,96
97,2011,8,31,1.0,97
98,2011,8,32,1.0,98
99,2011,8,33,1.0,99
100,2011,8,34,1.0,100
101,2011,8,35,1.0,101
102,2011,9,35,0.0,102
103,2011,9,36,2.0,103
104,2011,9,37,0.0,104
105,2011,9,38,0.0,105
106,2011,9,39,0.0,106
107,2011,10,39,0.0,107
108,2011,10,40,1.0,108
109,2011,10,41,2.0,109
110,2011,10,42,1.0,110
111,2011,10,43,2.0,111
112,2011,10,44,0.0,112
113,2011,11,44,1.0,113
114,2011,11,45,2.0,114
115,2011,11,46,0.0,115
116,2011,11,47,1.0,116
117,2011,11,48,1.0,117
118,2011,12,48,0.0,118
119,2011,12,49,1.0,119
120,2011,12,50,1.0,120
121,2011,12,51,1.0,121
122,2011,12,52,1.0,122
123,2012,1,1,0.0,123
124,2012,1,2,0.0,124
125,2012,1,3,1.0,125
126,2012,1,4,2.0,126
127,2012,1,5,1.0,127
128,2012,1,52,0.0,128
129,2012,2,5,1.0,129
130,2012,2,6,1.0,130
131,2012,2,7,1.0,131
132,2012,2,8,0.0,132
133,2012,2,9,0.0,133
134,2012,3,9,0.0,134
135,2012,3,10,1.0,135
136,2012,3,11,0.0,136
137,2012,3,12,3.0,137
138,2012,3,13,2.0,138
139,2012,4,13,0.0,139
140,2012,4,14,0.0,140
141,2012,4,15,1.0,141
142,2012,4,16,0.0,142
143,2012,4,17,1.0,143
144,2012,4,18,0.0,144
145,2012,5,18,1.0,145
146,2012,5,19,0.0,146
147,2012,5,20,2.0,147
148,2012,5,21,0.0,148
149,2012,5,22,1.0,149
150,2012,6,22,0.0,150
151,2012,6,23,0.0,151
152,2012,6,24,1.0,152
153,2012,6,25,4.0,153
154,2012,6,26,0.0,154
155,2012,7,26,0.0,155
156,2012,7,27,1.0,156
157,2012,7,28,3.0,157
158,2012,7,29,3.0,158
159,2012,7,30,1.0,159
160,2012,7,31,0.0,160
161,2012,8,31,0.0,161
162,2012,8,32,0.0,162
163,2012,8,33,0.0,163
164,2012,8,34,2.0,164
165,2012,8,35,1.0,165
166,2012,9,35,0.0,166
167,2012,9,36,0.0,167
168,2012,9,37,0.0,168
169,2012,9,38,1.0,169
170,2012,9,39,3.0,170
171,2012,10,40,0.0,171
172,2012,10,41,0.0,172
173,2012,10,42,2.0,173
174,2012,10,43,1.0,174
175,2012,10,44,1.0,175
176,2012,11,44,0.0,176
177,2012,11,45,1.0,177
178,2012,11,46,1.0,178
179,2012,11,47,1.0,179
180,2012,11,48,1.0,180
181,2012,12,1,1.0,181
182,2012,12,48,0.0,182
183,2012,12,49,1.0,183
184,2012,12,50,0.0,184
185,2012,12,51,2.0,185
186,2012,12,52,2.0,186
187,2013,1,1,0.0,187
188,2013,1,2,1.0,188
189,2013,1,3,0.0,189
190,2013,1,4,1.0,190
191,2013,1,5,1.0,191
192,2013,2,5,1.0,192
193,2013,2,6,0.0,193
194,2013,2,7,4.0,194
195,2013,2,8,1.0,195
196,2013,2,9,1.0,196
197,2013,3,9,1.0,197
198,2013,3,10,1.0,198
199,2013,3,11,1.0,199
200,2013,3,12,2.0,200
201,2013,3,13,0.0,201
202,2013,4,14,2.0,202
203,2013,4,15,0.0,203
204,2013,4,16,1.0,204
205,2013,4,17,1.0,205
206,2013,4,18,0.0,206
207,2013,5,18,0.0,207
208,2013,5,19,0.0,208
209,2013,5,20,0.0,209
210,2013,5,21,0.0,210
